Player,Nationality,Height,born,Age
Dan Burn,England,201,5/9/1992,31
Paul Onuachu,Nigeria,201,5/28/1994,29
Harry Souttar,Australia,198,10/22/1998,24
Wout Weghorst,Netherlands,197,8/7/1992,30
Illan Meslier,France,197,3/2/2000,23
Tyrone Mings,England,196,3/13/1993,30
Kristoffer Ajer,Norway,196,4/17/1998,25
Tosin Adarabioyo,England,196,9/24/1997,25
Willy Boly,Cote D’Ivoire,195,2/3/1991,32
Joël Matip,Cameroon,195,8/8/1991,31
Kieffer Moore,Wales,195,8/8/1992,30
Gianluca Scamacca,Italy,195,1/1/1999,24
Sven Botman,Netherlands,195,1/12/2000,23
Amadou Onana,Belgium,195,8/16/2001,21
Yerry Mina,Colombia,195,9/23/1994,28
Harry Maguire,England,194,3/5/1993,30
Issa Diop,France,194,1/9/1997,26
Pontus Jansson,Sweden,194,2/13/1991,32
Erling Haaland,Norway,194,7/21/2000,23
Maximilian Kilman,England,194,5/23/1997,26
Ibrahima Konaté,France,194,5/25/1999,24
Benoît Badiashile,France,194,3/26/2001,22
Virgil van Dijk,Netherlands,193,7/8/1991,32
Shane Duffy,Ireland,193,1/1/1992,31
Philip Billing,Denmark,193,6/11/1996,27
Kai Havertz,Germany,193,6/11/1999,24
Nathan Collins,Ireland,193,4/30/2001,22
Trevoh Chalobah,England,192,7/5/1999,24
José Sá,Portugal,192,1/17/1993,30
Duje Caleta-Car,Croatia,192,9/17/1996,26
Alexander Isak,Sweden,192,9/21/1999,23
Lewis Dunk,England,192,11/21/1991,31
William Saliba,France,192,3/24/2001,22
Tomás Soucek,Czech,192,2/27/1995,28
Jean-Philippe Mateta,France,192,6/28/1997,26
James Tomkins,England,192,3/29/1989,34
Joachim Andersen,Denmark,192,5/31/1996,27
Chris Wood,New Zealand,191,12/7/1991,31
Alisson,Brazil,191,10/2/1992,30
Adam Webster,England,191,1/4/1995,28
Scott McTominay,Scotland,191,12/8/1996,26
Chris Mepham,Wales,191,11/5/1997,25
Ellis Simms,England,191,1/5/2001,22
Armando Broja,Albania,191,9/10/2001,21
Mohammed Salisu,Ghana,191,4/17/1999,24
Robin Koch,Germany,191,7/17/1996,27
Rodri,Spain,191,6/22/1996,27
Ruben Loftus-Cheek,England,191,1/23/1996,27
Zanka,Denmark,191,4/23/1990,33
Angelo Ogbonna,Italy,191,5/23/1988,35
Raphaël Varane,France,191,4/25/1993,30
Sam Surridge,England,191,7/28/1998,25
Raúl Jiménez,Mexico,190,5/5/1991,32
João Palhinha,Portugal,190,7/9/1995,28
Moussa Niakhaté,Senegal,190,3/8/1996,27
Joe Worrall,England,190,1/10/1997,26
Lloyd Kelly,England,190,10/6/1998,24
Pascal Struijk,Netherlands,190,8/11/1999,23
Armel Bella-Kotchap,Germany,190,12/11/2001,21
Felipe,Brazil,190,5/16/1989,34
Gabriel Magalhães,Brazil,190,12/19/1997,25
Denis Zakaria,Switzerland,190,11/20/1996,26
Nathaniel Phillips,England,190,3/21/1997,26
Ryan Yates,England,190,11/21/1997,25
Carlos Vinícius,Brazil,190,3/25/1995,28
Aymeric Laporte,Spain,190,5/27/1994,29
Kurt Zouma,France,190,10/27/1994,28
Nayef Aguerd,Morocco,190,3/30/1996,27
Jan Bednarek,Poland,189,4/12/1996,27
Scott McKenna,Scotland,189,11/12/1996,26
Jan Paul van Hecke,Netherlands,189,6/8/2000,23
Jakub Kiwior,Poland,189,2/15/2000,23
