Player,Salary
Aaron Connolly,1196000
Aaron Hickey,1560000
Aaron Ramsdale,3220000
Aaron Wan-Bissaka,4680000
Abdoulaye Doucouré,3900000
Adam Armstrong,2490000
Adam Davies,1040000
Adam Lallana,4680000
Adam Smith,1820000
Adam Webster,1976000
Albert Sambi Lokonga,2700000
Alejandro Garnacho,2600000
Aleksandar Mitrovic,3120000
Alex Iwobi,2600000
Alex McCarthy,3466667
Álex Moreno,3185000
Alex Smithies,1560000
Alex Telles,4840000
Alexander Isak,6240000
Alisson Becker,7800000
Alisson Becker,4680000
Allan Saint-Maximin,2000000
Alphonse Areola,6240000
Amad Diallo,1500000
Amadou Onana,5200000
Andi Zeqiri,1300000
Andre Gomes,5835000
Andreas Pereira,2080000
Anel Ahmedhodžić,1300000
Angus Gunn,1300000
Anthony Knockaert,1950000
Anthony Martial,13000000
Antoine Semenyo,1040000
Antonee Robinson,1430000
Antony dos Santo,10400000
Arijanet Muric,1040000
Armando Broja,2080000
Aymeric Laporte,6240000
Baba Rahman,4470000
Ben Chilwell,10400000
Ben Davies,3120000
Ben Gibson,2080000
Ben Godfrey,4000000
Ben Johnson,1000000
Ben Mee,2860000
Ben White,6240000
Benoit Badiashile,4387500
Bernardo Silva,7800000
Bernd Leno,4680000
Billy Gilmour,1040000
Bobby Reid,1950000
Boubacar Kamara,7800000
Boubakary Soumaré,5150000
Brandon Williams,3380000
Brenden Aaronson,2340000
Brennan Johnson,1560000
Bruno Fernandes,12480000
Bruno Guimarães,5616000
Bryan Gil,4160000
Bryan Mbeumo,4160000
Bukayo Saka,10140000
Callum Hudson-Odoi,6240000
Callum Wilson,2400000
Calum Chambers,1225000
Cameron Archer,1040000
Carlos Casimiro,15600000
Carlos Vinícius,2080000
Carney Chukwuemeka,5200000
Cedric Soares,3900000
Charlie Taylor,1300000
Che Adams,1560000
Cheick Doucouré,3120000
Cheikhou Kouyate,2340000
Chris Mepham,1820000
Chris Richards,2860000
Christian Eriksen,7800000
Christian Nørgaard,1040000
Christoph Zimmermann,1010000
Cody Gakpo,5720000
Connor Roberts,1360000
Conor Gallagher,2600000
Craig Dawson,2340000
Cristian Romero,8580000
Dan Burn,1000000
Dango Ouattara,1820000
Daniel James,2600000
Daniel Podence,3120000
Danilo Luiz da Silva,1448571
Danny Ings,6500000
Danny Ward,1040000
Danny Welbeck,2860000
Darren Randolph,1300000
Darwin Núñez,9330000
David Brooks,2860000
David Fofana,9657143
David Raya,1300000
Davinson Sanchez,3380000
Dean Henderson,5200000
Declan Rice,3120000
Dele Alli,5200000
Demarai Gray,1300000
Dennis Praet,3900000
Diego Carlos,5200000
Diego Llorente,2340000
Diogo Dalot,4420000
Diogo Jota,9360000
Djed Spence,1300000
Dominic Calvert-Lewin,1248000
Dominic Solanke,2600000
Donny van de Beek,6240000
Douglas Luiz,3900000
Dwight McNeil,1300000
Eberech Eze,1560000
Ederson Moraes,3380000
Edward Nketiah,5200000
Elliot Anderson,2340000
Emerson Palmieri,4940000
Emerson Royal,2170000
Emil Krafth,3000000
Emile Smith Rowe,1040000
Emiliano Buendía,3900000
Emiliano Martinez,7488000
Emmanuel Dennis,2080000
Enzo Fernández,15470000
Eric Bailly,4160000
Eric Dier,3755200
Erling Haaland,19500000
Ethan Horvath,890000
Ethan Pinnock,1560000
Evan Ferguson,1040000
Ezri Konsa,1560000
Fabian Schar,2080000
Fabinho Tavares,9360000
Fabio Silva,4160000
Fábio Vieira,2360000
Facundo Buonanotte,780000
Facundo Pellistri,1000000
Felipe Augusto de Almeida,4160000
Flynn Downes,1300000
Francisco Oliveira,950000
Frank Onyeka,960000
Fraser Forster,3900000
Frederico de Paula Santos,6240000
Gabriel Jesus,13780000
Gabriel Magalhães,2600000
Gabriel Martinelli,4680000
Gavin Bazunu,1040000
Georginio Rutter,3336667
Gianluca Scamacca,4680000
Giovani Lo Celso,3640000
Giulian Biancone,1040000
Gonçalo Guedes,4680000
Grady Diangana,1058200
Grant Hanley,1040000
Gustavo Scarpa,1820000
Hakim Ziyech,5200000
Harry Kane,10400000
Harry Maguire,8464286
Harry Wilson,1710000
Harry Winks,2600000
Helder Costa,1690000
Heung-Min Son,9984000
Hjalmar Ekdal,936000
Hugo Lloris,5200000
Ibrahima Diallo,2860000
Ibrahima Konate,3640000
Idrissa Gueye,4160000
Illan Meslier,1144000
Ilya Zabarnyi,1300000
Isaac Hayden,1144000
Ismaila Sarr,3276000
Issa Diop,3640000
Ivan Cavaleiro,1950000
Ivan Perisic,9270000
Ivan Toney,1092000
Jack Cork,1976000
Jack Grealish,15600000
Jacob Murphy,1300000
Jadon Sancho,18200000
Jaidon Anthony,1300000
Jake Vokins,1100000
Jakub Kiwior,2764667
Jamaal Lascelles,2080000
Jamal Lewis,2000000
James Garner,1560000
James Tarkowski,5200000
James Ward-Prowse,2340000
Jamie Vardy,7280000
Jan Bednarek,1040000
Jannik Vestergaard,3390000
Japhet Tanganga,1200000
Jared Bowen,5000000
Jason Steele,833333
Javier Manquillo,1820000
Jay Rodriguez,1820000
Jayden Bogle,858000
Jean-Philippe Gbamin,3900000
Jean-Philippe Mateta,2775000
Jeff Hendrick,2100000
Jeffrey Schlupp,2912000
Joachim Andersen,4130000
Joao Cancelo,4160000
João Palhinha,2600000
Joe Aribo,3640000
Joe Gelhardt,860000
Joe Gomez,3900000
Joe Willock,1040000
Joel Ward,1820000
Joelinton Cassio Apolinário de Lira,4500000
Jóhann Berg Guðmundsson,1560000
John Stones,13000000
Jonjo Shelvey,3900000
Jonny Otto,1907000
Jordan Pickford,5208333
Jorge Luiz Frello Filho,5720000
José Sá,1490000
Josh Brownhill,2080000
Josh Dasilva,936000
Julian Álvarez,2600000
Junior Firpo,2200000
Kalvin Phillips,7800000
Karl Darlow,1300000
Keane Lewis-Potter,1820000
Keinan Davis,2340000
Kelechi Iheanacho,3120000
Kenny Tete,2650000
Kepa Arrizabalaga,7800000
Kevin De Bruyne,20800000
Kevin Mbabu,2080000
Kieffer Moore,920000
Kieran Tierney,5720000
Kieran Trippier,6250000
Kiernan Dewsbury-Hall,970000
Ki-Jana Hoever,2100000
Kiko Femenia,1040000
Konstantinos Tsimikas,3120000
Kristoffer Ajer,1150000
Kurt Zouma,6240000
Kyle Walker,5720000
Kyle Walker-Peters,1200000
Leandro Trossard,4680000
Leon Bailey,5200000
Lewis Cook,2080000
Lewis Dunk,2340000
Lisandro Martínez,6240000
Lloyd Kelly,1560000
Lucas Digne,7650000
Lucas Paquetá,7800000
Luis Díaz,2669333
Luis Sinisterra,3380000
Lukasz Fabianski,3380000
Lyanco Vojnovic,2500000
Lyle Foster,1040000
Malang Sarr,6240000
Manuel Akanji,9360000
Manuel Benson,860000
Manuel Lanzini,3640000
Marc Albrighton,2340000
Marc Cucurella,9100000
Marc Guehi,2610000
Marc Roca,2600000
Marcos Senesi,2600000
Marcus Bettinelli,1820000
Marcus Rashford,10400000
Marcus Tavernier,1040000
Mario Lemina,2340000
Mark Travers,1040000
Martin Dubravka,1976000
Martin Ødegaard,4110000
Marvelous Nakamba,1690000
Mason Greenwood,3900000
Mason Holgate,1300000
Matheus Nunes,4420000
Mathias Jensen,1040000
Mathias Jorgensen,2600000
Matt Ritchie,2340000
Matt Targett,5200000
Matt Turner,1820000
Matty Cash,3380000
Max Aarons,1170000
Máximo Perrone,1430000
Maxwel Cornet,3380000
Michael Keane,3380000
Michael Olise,2470000
Michail Antonio,3640000
Miguel Almiron,2201000
Mikkel Damsgaard,1560000
Mislav Orsic,3466667
Mohamed Elneny,2600000
Mohamed Salah,18200000
Mohammed Salisu,1200000
Moises Caicedo,3120000
Morgan Gibbs-White,4160000
Morgan Sanson,2496000
Moussa Djenepo,4290000
Moussa Niakhaté,2340000
Mykhailo Mudryk,5525000
Naouirou Ahamada,1040000
Nathan Ake,4800000
Nathan Patterson,810000
Nathaniel Phillips,3360000
Nayef Aguerd,2600000
Neal Maupay,2600000
Neco Williams,2600000
Nelson Semedo,4000000
Nick Pope,3120000
Nicolas Pepe,7280000
Nikola Vlasic,3640000
Noni Madueke,2600000
Nuno Tavares,1404000
Odsonne Edouard,4930000
Oleksandr Zinchenko,7800000
Ollie Watkins,3900000
Omar Richards,1560000
Onyinye Ndidi,3900000
Orel Mangala,1560000
Pablo Fornals,3500000
Pablo Sarabia,4680000
Pape Sarr,1040000
Pascal Gross,2600000
